bit_position,dimension,threshold,error_count,total,BER
678,226,0,190,881,0.21566401816118047
679,226,1,253,881,0.28717366628830876
680,226,2,175,881,0.19863791146424517
681,227,0,161,881,0.18274687854710556
682,227,1,214,881,0.24290578887627695
683,227,2,167,881,0.18955732122587968
684,228,0,190,881,0.21566401816118047
685,228,1,238,881,0.27014755959137343
686,228,2,175,881,0.19863791146424517
687,229,0,168,881,0.19069239500567536
688,229,1,210,881,0.2383654937570942
689,229,2,194,881,0.22020431328036322
690,230,0,158,881,0.1793416572077185
691,230,1,245,881,0.27809307604994327
692,230,2,165,881,0.1872871736662883
693,231,0,176,881,0.19977298524404086
694,231,1,246,881,0.2792281498297389
695,231,2,181,881,0.2054483541430193
696,232,0,203,881,0.2304199772985244
697,232,1,250,881,0.28376844494892167
698,232,2,176,881,0.19977298524404086
699,233,0,180,881,0.2043132803632236
700,233,1,240,881,0.2724177071509648
701,233,2,187,881,0.2122587968217934
702,234,0,185,881,0.20998864926220204
703,234,1,249,881,0.282633371169126
704,234,2,157,881,0.1782065834279228
705,235,0,168,881,0.19069239500567536
706,235,1,201,881,0.22814982973893302
707,235,2,155,881,0.17593643586833144
708,236,0,192,881,0.21793416572077184
709,236,1,222,881,0.25198637911464244
710,236,2,176,881,0.19977298524404086
711,237,0,165,881,0.1872871736662883
712,237,1,228,881,0.25879682179341656
713,237,2,168,881,0.19069239500567536
714,238,0,184,881,0.20885357548240635
715,238,1,219,881,0.24858115777525538
716,238,2,168,881,0.19069239500567536
717,239,0,197,881,0.22360953461975028
718,239,1,214,881,0.24290578887627695
719,239,2,155,881,0.17593643586833144
720,240,0,161,881,0.18274687854710556
721,240,1,263,881,0.2985244040862656
722,240,2,198,881,0.22474460839954596
723,241,0,191,881,0.21679909194097616
724,241,1,216,881,0.24517593643586832
725,241,2,186,881,0.21112372304199772
726,242,0,179,881,0.20317820658342792
727,242,1,246,881,0.2792281498297389
728,242,2,180,881,0.2043132803632236
729,243,0,180,881,0.2043132803632236
730,243,1,225,881,0.25539160045402953
